channel,healthy_ageing,one_earth_health,self_society
  Yoga | Weight Loss & Healthy Life | Seema Mehta,0.0,1.0,0.0
9 A Girls Bn NCC Kurnool,0.0,0.0,1.0
AIR NEWS KOHIMA,0.0,1.0,0.0
AIRS ,0.0,1.0,0.0
AJ FITZONE,0.0,1.0,0.0
AKTU Digital Education,0.0,1.0,0.0
AP Digital Corporation,0.0,1.0,0.0
ARYATARA AYURNIKETAN,0.0,0.0,1.0
AT World News,0.0,0.0,1.0
Aayush Hospitals,0.0,1.0,0.0
Abhyas School of Yoga,0.0,1.0,0.0
Advaita Yoga,0.0,1.0,0.0
Amrutha Bindu Yoga,0.0,1.0,0.0
Anjleen K,0.0,0.0,1.0
Arham Dhyan Yog,0.0,1.0,0.0
Arihant Online Academy,0.0,1.0,0.0
Ayursiha Hospital,0.0,0.0,1.0
BHUMISUTO THEATRE,0.0,1.0,0.0
Beginners Yoga,0.0,1.0,0.0
Bharat Yogavidya Kendra,0.0,1.0,0.0
BhavaniArtAcademy ,0.0,1.0,0.0
Biswajeet samal,0.0,0.0,1.0
Buddha Dharma ,0.0,1.0,0.0
CGI Shanghai,0.0,1.0,0.0
CNN-News18,0.0,1.0,1.0
Capers Corporate Wellness,0.0,1.0,0.0
Chilanka Dance and Music,0.0,1.0,0.0
Crazy Videographer,0.0,0.0,1.0
DAVians Unite,0.0,0.0,1.0
DD India,0.0,1.0,0.0
DK Yoga Tech,0.0,1.0,0.0
DM Khowai,0.0,1.0,0.0
DYTTITUDE | Diet Yoga Attitude Dyttitude,0.0,0.0,1.0
Dipsikha Vlogs(Moon) ,0.0,0.0,1.0
Diva@2speaks,0.0,1.0,0.0
Divya Sai Institute of Yoga & Therapy,0.0,0.0,1.0
Doordarshan National,0.0,1.0,0.0
Dronacharya Group of Institutions,0.0,1.0,0.0
EMPC-IGNOU,0.0,0.0,2.0
EVERGREEN PUBLIC SCHOOL,0.0,1.0,0.0
Explore the divinity,0.0,0.0,1.0
FCI CCM,0.0,1.0,0.0
FOX40 News,0.0,0.0,1.0
Fact Navigate,1.0,2.0,0.0
GS CRAZE ,0.0,0.0,1.0
Global Knowledge Campus,0.0,1.0,0.0
Global Writing Corner,0.0,0.0,1.0
Government Secondary School Hathidhunga ,0.0,0.0,1.0
HOLISTIC YOGA,0.0,1.0,0.0
"HOWRAH DIVISION, EASTERN RAILWAY",0.0,1.0,0.0
HWC Nandugaon,0.0,0.0,1.0
Homemade Bazaar,0.0,0.0,1.0
Hybiz Now,0.0,1.0,0.0
ICAI CA Tube,0.0,1.0,0.0
ICCR IN SRI LANKA,0.0,0.0,1.0
IGNOU BANGALORE,0.0,0.0,1.0
India Today,0.0,1.0,0.0
Indian Yoga Techniques,0.0,0.0,1.0
Indo Thai News,0.0,1.0,0.0
"Information & PR, J&K",0.0,0.0,1.0
Jeevitam Yoga,0.0,1.0,0.0
KVS HQ,0.0,1.0,0.0
Lipika sarkar,0.0,1.0,0.0
MS Fitness ,0.0,1.0,0.0
Malika,0.0,1.0,0.0
ManavRachna Yoga Kendra,0.0,1.0,0.0
Master Mind Ai,0.0,1.0,0.0
Mediqueen Doctor Pageant 2024,0.0,0.0,1.0
Ministry of Ayush,0.0,1.0,1.0
Ministry of Information & Broadcasting,0.0,0.0,7.0
Ministry of Labour and Employment,0.0,1.0,0.0
Mitra CanCare Foundation,0.0,1.0,0.0
Mokshalaya - by Kankana,0.0,0.0,1.0
NWRailways,0.0,1.0,0.0
Nakhipot yoga sadhana kendra lalitpur 14,0.0,0.0,1.0
Nanda Donkanavar,0.0,1.0,0.0
Narayana Health,0.0,1.0,0.0
Navjeevan neswsd,0.0,0.0,1.0
NewsQube Channel,0.0,1.0,0.0
Nirvana Yoga Fitness Studio,0.0,0.0,1.0
Nurture Hospital,0.0,0.0,1.0
OM yoga,0.0,0.0,1.0
OurTrip Videos,0.0,0.0,1.0
PRAJNA FOUNDATION ,0.0,1.0,0.0
PRJ Education,0.0,1.0,0.0
PSP KALA NILAYAM,0.0,0.0,1.0
PTJM Gorakshini,0.0,1.0,0.0
Peace Drops for EcoRestoration,0.0,1.0,0.0
Pooja Arya,0.0,0.0,1.0
Pop Culture Insights,0.0,1.0,0.0
Prince Academy,0.0,0.0,1.0
Privi Creation,0.0,0.0,1.0
Probasinir' Swapnodeep#Sriharikota..🙏💓,0.0,1.0,0.0
Provet Pharma Private Limited,0.0,0.0,1.0
RAJ ENGLISH SCHOOL,0.0,1.0,0.0
Rakesh Burh,0.0,0.0,1.0
Rebootwithnidhi ,0.0,0.0,1.0
RhythmDancePrapti Mehta ,0.0,0.0,1.0
SANTV UK,0.0,1.0,0.0
SPEFL-SC,0.0,0.0,1.0
Sailor Today,0.0,0.0,1.0
Sansad TV,0.0,1.0,0.0
SheelTalks,0.0,0.0,2.0
Shivatma Yog,0.0,0.0,1.0
Silver Screen,0.0,1.0,0.0
Smile Please World,0.0,0.0,1.0
Snigdha's podium ,0.0,0.0,1.0
Sri Madhusudan Sai Global Humanitarian Mission,0.0,0.0,1.0
Srishti GK,0.0,0.0,1.0
Studiously Yours,0.0,0.0,1.0
"Suman Malik – Poetry & Power , content writer",0.0,0.0,1.0
Sushanta Sethy,0.0,0.0,1.0
Swami Yogmata,0.0,1.0,0.0
Swastha,0.0,0.0,1.0
Tamara Leisure Experiences,0.0,1.0,0.0
The Light,0.0,3.0,0.0
The Yogic Life Way of Life,0.0,1.0,0.0
The actual me ,0.0,0.0,1.0
"Triton Logistics & Maritime, Abrao Group Company",0.0,1.0,0.0
UNTANGLE # BY Mamta Joshi,0.0,1.0,0.0
VEDA'S YOGA,0.0,1.0,0.0
VIBGYORS EM SCHOOL MUMMIDIVARAM ,0.0,0.0,1.0
VIRENDRA DR,0.0,0.0,1.0
Vadodara Airport ,0.0,1.0,0.0
Vartika Pandey,0.0,0.0,1.0
Vibrancy,0.0,0.0,1.0
Vishwashanti Darshan,0.0,1.0,0.0
Vivekananda Kendra,0.0,1.0,0.0
WION,0.0,0.0,1.0
World Health Organization South-East Asia Region - WHO SEARO,0.0,1.0,0.0
WorldMiTR,0.0,1.0,0.0
Wunderbar Sisters,0.0,1.0,0.0
YENRI,0.0,0.0,1.0
"YOGA,DANCE AND TRAVEL FREAK GIRLS(GhummakadLadies)",0.0,0.0,1.0
Yog Yogi Yoga,0.0,1.0,1.0
Yoga Se Hi Hoga I Giirish Anand,0.0,0.0,1.0
Yoga by Geet,0.0,0.0,1.0
YogaPartner,0.0,1.0,0.0
Yogadvika,0.0,0.0,1.0
Young minds at play,0.0,0.0,1.0
circusincevents,0.0,1.0,0.0
habit of yoga ,0.0,1.0,0.0
ki & ka,0.0,1.0,0.0
kids fun Magic world,0.0,0.0,1.0
tushar_create,0.0,1.0,0.0
