title,year,citations,category,stance,journal_type,peer_reviewed,priority,country_focus,theoretical_orientation,notes
"Choreographing Tolerance: Narendra Modi, Hindu Nationalism, and International Yoga Day",2020,34,politics,critical,core,"Most cited IDY political analysis"
"The transformative impact of the international day of yoga",2023,23,health,promotional,core,"Frequently cited impact narrative"
"YOGA FOR PROMOTION OF HEALTH: CONFERENCE HELD ON INTERNATIONAL DAY OF YOGA-2015 AT KOLAR",2015,10,health,promotional,supporting,"Conference report"
"The International Yoga Day, political discourse, and soft power game in India",2020,8,soft_power,analytical,core,"Directly relevant to diplomacy framing"
"The unintended consequences of International Day of Yoga",2018,7,politics,critical,core,"Important counter-narrative"
"International yoga day 2016: A call for analysis of one month training program on the health benefits of PM's call for yoga",2016,4,health,promotional,supporting,"Health intervention framing"
"Impact assessment of International Day of Yoga: results from a cross-sectional survey",2024,3,health,promotional,core,"Recent evaluation study"
"'Yoga for Lifestyle Diseases': Conference held on 2nd International Day of Yoga-2016 at Kolar, India",2016,3,health,promotional,supporting,"Conference proceedings"
"Indian PM's International Yoga Day 2016 advocacy: trends, advances and future perspectives",2016,2,soft_power,promotional,supporting,"Advocacy-oriented"
"International Day of Yoga",2016,2,event_report,descriptive,supporting,"General overview"
"Yoga for postoperative convalescence-International yoga day",2025,1,health,promotional,peripheral,"Medical application"
"Synergizing yoga science and society for well-being through innovative yoga practices on International Day of Yoga 2024",2025,1,health,promotional,peripheral,"Well-being framing"
"International Yoga Day",2016,1,event_report,descriptive,supporting,"General discussion"
"Yoga For Lifestyle Diseases Conference Held On 2nd International Day Of Yoga-2016 At Kolar, India",2016,1,health,promotional,peripheral,"Duplicate conference stream"
"Yoga in India and the International Day of Yoga: An Anthropological Analysis of Lifestyle, Cultural Heritage and Global Co-existence",2025,0,anthropology,analytical,core,"Anthropological perspective"
"International day of yoga: understanding its neural mechanisms and clinical applications in brain health",2025,0,health,promotional,peripheral,"Biomedical framing"
"Speech on District Level Programme on International Yoga Day",2024,0,event_report,descriptive,peripheral,"Administrative speech"
"Impact of International Day of Yoga and thrust from the Government in bringing Yoga to daily lives of people",2023,0,health,promotional,supporting,"Government initiative framing"
"The message of international yoga day",2017,0,event_report,descriptive,peripheral,"Short commentary"
"Message from international yoga day",2015,0,event_report,descriptive,peripheral,"Short commentary"
"India's International Yoga Day was supposed to promote peace and harmony-but it didn't turn out that way",2015,0,politics,critical,core,"Media critique"
"Yoga and Basic Medical Sciences First Year of International Day of Yoga 21 June 2015",2015,0,health,promotional,supporting,"Educational-health framing"
"First International Yoga Day was Observed on 21 June 2015",2015,0,event_report,descriptive,peripheral,"Historical note"
"Yoga-based and Mindfulness-based cognitive research: A decade prior and following the announcement of International Day of Yoga",,0,health,analytical,supporting,"Related but broader than IDY"
"IDA celebrated International Yoga Day 21st June 2022",2022,0,event_report,descriptive,peripheral,"Celebration report"
"Celebration of International Yoga Day",,0,event_report,descriptive,peripheral,"Celebration report"
