year,W,T,E,visibility,slope,regime
2015,0.47372861652480924,0.18726591760299646,0.0,0.25503451777097247,0.0,stable
2016,1.0,0.0,0.0,0.4,0.0,stable
2017,0.8587234511736492,0.056179775280899034,0.9682255176496352,0.6052086812301831,0.17508708172964746,expansion
2018,0.5007490358410653,0.22846441947565554,0.9876763716646869,0.5271812540690773,0.06359062703454753,expansion
2019,0.04043595084407351,0.6666666666666667,1.0,0.49950771367096275,-0.05285048377960708,decline
2020,0.019295163265844205,0.6853932584269663,0.8913998664851595,0.47045567237706576,-0.02836279084601095,decline
2021,0.01808472134668255,1.0,0.8624419117858249,0.5728443664851293,0.036668326407074986,expansion
2022,0.011116890338755953,0.9475655430711611,0.8096209121693629,0.5384999242527495,0.034022125937838855,expansion
2023,0.012145166741370507,0.5917602996254684,0.24762234273743727,0.27387975724982144,-0.14948230461774656,decline
2024,0.011275086708388962,0.310861423220974,0.6014723174937181,0.263679612184126,-0.1374101560342968,decline
2025,0.015043036603284253,0.7116104868913858,0.7914403078749069,0.4529409620220255,0.08953060238608526,expansion
2026,0.0,0.0,0.6245523447632461,0.15613808619081151,-0.053770762996665854,decline
