year,w,t,e,idy_visibility_index_v2_3
2015,0.47372861652480924,0.18726591760299646,0.0,0.2787209485972129
2016,1.0,0.0,0.0,0.45
2017,0.8587234511736492,0.056179775280899034,0.0,0.40608847437645684
2018,0.5007490358410653,0.22846441947565554,0.0,0.30529961294495883
2019,0.04043595084407351,0.6666666666666667,0.0,0.2515295112131664
2020,0.019295163265844205,0.6853932584269663,0.0,0.2485704639190681
2021,0.01808472134668255,1.0,0.0,0.35813812460600714
2022,0.011116890338755953,0.9475655430711611,0.0,0.33665054072734657
2023,0.012145166741370507,0.5917602996254684,0.0,0.21258142990253068
2024,0.011275086708388962,0.310861423220974,0.0,0.11387528714611592
2025,0.015043036603284253,0.7116104868913858,0.0,0.2558330368834629
2026,0.0,0.0,0.0,0.0
