channel,videos,engagement
Ministry of Ayush,34,766.0
ISCM of Sri Balaji Vidyapeeth,12,277.0
DD News,11,79.0
FBC TV,11,25.0
Ministry of Information & Broadcasting,10,314.0
International Day of Yoga,10,147.0
NDTV,9,1013.0
Sadhguru,8,254053.0
India Today,8,1432.0
ABP NEWS,7,18907.0
Narendra Modi,7,6682.0
Aaj Tak,7,345.0
Nirogyog by namrata,6,17310.0
Dr. Praveena Shetty,6,29.0
FijiGovernment,6,3.0
NYOOOZ TV,5,3.0
Ann Swanson Wellness,5,1339.0
Godlywood Studio,5,99.0
Gokulacandra,5,25.0
Bharat Swabhiman,5,18340.0
Times Of India,5,1648.0
Cleveland Clinic,4,1218.0
Veronica Munoz,3,5.0
The Telegraph,3,58.0
The Mantra Room Brisbane,3,7.0
